sku,item_title,Austin,East Village NYC,Hyde Park Chicago,Los Angeles,South Loop Chicago,Range
7904,Bruschetta Sauce,2.99,3.99,3.99,2.99,3.99,1.0
74895,Seedless Lemons,2.99,3.99,3.99,2.99,3.99,1.0
60500,White Sliced Bread,1.99,2.49,1.99,1.99,1.99,0.5000000000000002
68885,Carb Savvy Tortillas made with Whole Wheat,3.49,2.99,2.99,3.49,2.99,0.5
80336,Shishito Peppers,2.99,2.49,2.49,2.99,2.49,0.5
83524,Grilled Chili Lime Chicken Breast,7.99,7.99,7.49,7.99,7.49,0.5
92457,Traditional Indian Style Flatbread,3.49,3.49,3.49,3.99,3.49,0.5
97436,Lemon Chicken & Arugula Salad,4.99,5.49,4.99,4.99,4.99,0.5
61875,La Colombe Triple Cold Brew Latte,2.69,2.99,2.99,2.99,2.99,0.30000000000000027
65156,La Colombe Pumpkin Spice Cold Brew Latte,2.69,2.99,2.99,2.99,2.99,0.30000000000000027
70576,La Colombe Double Cold Brew Latte with Oatmilk,2.69,2.99,2.99,2.99,2.99,0.30000000000000027
75762,Organic Buttery Plant-Based Spread,3.99,3.99,3.99,3.69,3.99,0.30000000000000027
81059,La ColombeÂ® Vanilla Cold Brew Draft Latte,2.69,2.99,2.99,2.99,2.99,0.30000000000000027
53681,Organic Beets,1.79,1.99,1.99,1.79,1.99,0.19999999999999996
92334,Plain Pizza Dough,1.69,1.69,1.69,1.49,1.69,0.19999999999999996
58463,Southwestern Chopped Salad Kit,3.49,3.69,3.69,3.49,3.69,0.19999999999999973
95748,Fresh Fennel,3.49,3.69,3.69,3.49,3.69,0.19999999999999973
41911,Organic Firm Tofu,1.89,1.99,1.99,1.89,1.99,0.10000000000000009
